id	id_page	id_elem	class_object	ligne	id_product
seri.gtms.0095.01.00009.03	gtms.0095.01.00009	kpis.0095.01.15007	kpi	3	1
seri.gtms.0095.01.00009.04	gtms.0095.01.00009	kpis.0095.01.15009	kpi	4	1
seri.gtms.0095.01.00009.05	gtms.0095.01.00009	kpis.0095.01.15011	kpi	5	1
dshd.0095.01.004.gtm.01	dshd.0095.01.004	gtms.0095.01.00013	graph	1	1
seri.gtms.0095.01.00013.01	gtms.0095.01.00013	kpis.0095.01.10007	kpi	1	1
seri.gtms.0095.01.00013.02	gtms.0095.01.00013	kpis.0095.01.10009	kpi	2	1
seri.gtms.0095.01.00013.03	gtms.0095.01.00013	kpis.0095.01.10011	kpi	3	1
seri.gtms.0095.01.00013.04	gtms.0095.01.00013	kpis.0095.01.10013	kpi	4	1
seri.gtms.0095.01.00013.05	gtms.0095.01.00013	kpis.0095.01.10015	kpi	5	1
seri.gtms.0095.01.00013.06	gtms.0095.01.00013	kpis.0095.01.10021	kpi	6	1
seri.gtms.0095.01.00013.07	gtms.0095.01.00013	kpis.0095.01.10023	kpi	7	1
seri.gtms.0095.01.00013.08	gtms.0095.01.00013	kpis.0095.01.10031	kpi	8	1
seri.gtms.0095.01.00013.09	gtms.0095.01.00013	kpis.0095.01.10033	kpi	9	1
seri.gtms.0095.01.00013.10	gtms.0095.01.00013	kpis.0095.01.10035	kpi	10	1
seri.gtms.0095.01.00013.11	gtms.0095.01.00013	kpis.0095.01.10037	kpi	11	1
seri.gtms.0095.01.00013.12	gtms.0095.01.00013	kpis.0095.01.10039	kpi	12	1
seri.gtms.0095.01.00013.13	gtms.0095.01.00013	kpis.0095.01.10041	kpi	13	1
seri.gtms.0095.01.00013.14	gtms.0095.01.00013	kpis.0095.01.10043	kpi	14	1
seri.gtms.0095.01.00013.15	gtms.0095.01.00013	kpis.0095.01.10045	kpi	15	1
seri.gtms.0095.01.00013.16	gtms.0095.01.00013	kpis.0095.01.10047	kpi	16	1
seri.gtms.0095.01.00013.17	gtms.0095.01.00013	kpis.0095.01.10049	kpi	17	1
seri.gtms.0095.01.00013.18	gtms.0095.01.00013	kpis.0095.01.10051	kpi	18	1
seri.gtms.0095.01.00013.19	gtms.0095.01.00013	kpis.0095.01.10053	kpi	19	1
seri.gtms.0095.01.00013.20	gtms.0095.01.00013	kpis.0095.01.10055	kpi	20	1
