id_data	data_legend	position_ordonnee	display_type	line_design	color	filled_color
seri.gtms.0075.02.00008.01	Data Volume Downlink of EDGE RLC (MSC-x) (kbytes)	right	bar	none	#333333	#0099FF@0.5
seri.gtms.0075.02.00008.02	Data Volume Uplink of EDGE RLC (MSC-x) (kbytes)	right	bar	none	#333333	#FF0000@0.5
seri.gtms.0075.02.00008.03	Data Volume Downlink Retransmitted Rate for EDGE RLC (MSC-x) (%)	left	line	square	#0099FF	#FFFFFF@1
seri.gtms.0075.02.00008.04	Data Volume Uplink Retransmitted Rate for EDGE RLC (MSC-x) (%)	left	line	square	#FF0000	#FFFFFF@1
seri.gtms.0075.02.00009.01	TBF Establishment Attempts Downlink Number (Nb)	right	bar	none	#333333	#0099FF@0.5
seri.gtms.0075.02.00009.02	TBF Establishment Attempts Uplink Number (Nb)	right	bar	none	#333333	#FF0000@0.5
seri.gtms.0075.02.00009.09	TBF Drop Downlink Rate (%)	left	line	circle	#0099FF	#FFFFFF@1
seri.gtms.0075.02.00009.10	TBF Drop Uplink Rate (%)	left	line	circle	#FF0000	#FFFFFF@1
seri.gtms.0075.02.00009.11	TBF Drop Rate (%)	left	line	circle	#006600	#FFFFFF@1
seri.gtms.0075.02.00010.01	EDGE utilisation rate (%)	left	cumulatedbar	none	#333333	#0099FF@0.5
seri.gtms.0075.02.00010.02	GPRS utilisation rate (%)	left	cumulatedbar	none	#333333	#FF0000@0.5
seri.gtms.0075.02.00010.05	PDCH Utilization (GPRS/EDGE) (%)	left	line	circle	#9900FF	#FFFFFF@1
seri.gtms.0075.02.pdch_availability.kpis.0075.02.18099	PDCH Defined Number (GPRS/EDGE) (Nb)	right	bar	none	#333333	#0099FF@0.5
seri.gtms.0075.02.pdch_availability.kpis.0075.02.18101	PDCH Available Number (GPRS/EDGE) (Nb)	right	bar	none	#333333	#FF0000@0.5
seri.gtms.0075.02.pdch_availability.kpis.0075.02.18100	PDCH Availability (GPRS/EDGE) (%)	left	line	circle	#333333	#FFFFFF@1
