RNCs;Cells Label;Cells
BHERNC4;UHB011A;BHERNC4_UHB011A
BHERNC4;UDN01G;BHERNC4_UDN01G
BHERNC4;UDN01H;BHERNC4_UDN01H
BHERNC4;UGZ01L;BHERNC4_UGZ01L
BHERNC4;UGZ01K;BHERNC4_UGZ01K
BHERNC4;UGZ01J;BHERNC4_UGZ01J
BHERNC4;UGZ01I;BHERNC4_UGZ01I
BHERNC4;UGZ01H;BHERNC4_UGZ01H
BHERNC4;UGZ01G;BHERNC4_UGZ01G
BHERNC4;UGZ01C;BHERNC4_UGZ01C
BHERNC4;UGZ01B;BHERNC4_UGZ01B
BHERNC4;UGZ01A;BHERNC4_UGZ01A
BHERNC4;UGZ02A;BHERNC4_UGZ02A
BHERNC4;UGZ07I;BHERNC4_UGZ07I
BHERNC4;UGZ07H;BHERNC4_UGZ07H
BHERNC4;UGZ07G;BHERNC4_UGZ07G
BHERNC4;UPG01I;BHERNC4_UPG01I
BHERNC4;UPG01H;BHERNC4_UPG01H
BHERNC4;UPG01G;BHERNC4_UPG01G
BHERNC4;UPG01C;BHERNC4_UPG01C
BHERNC4;UPG01B;BHERNC4_UPG01B
BHERNC4;UPG01A;BHERNC4_UPG01A
BHERNC4;UDN01I;BHERNC4_UDN01I
BHERNC4;USA01I;BHERNC4_USA01I
BHERNC4;USA01H;BHERNC4_USA01H
BHERNC4;USA01G;BHERNC4_USA01G
BHERNC4;UHB01N;BHERNC4_UHB01N
BHERNC4;USA01B;BHERNC4_USA01B
BHERNC4;USA01A;BHERNC4_USA01A
BHERNC4;USA02I;BHERNC4_USA02I
BHERNC4;USA02H;BHERNC4_USA02H
BHERNC4;USA02G;BHERNC4_USA02G
BHERNC4;USA02C;BHERNC4_USA02C
BHERNC4;USA02B;BHERNC4_USA02B
BHERNC4;USA02A;BHERNC4_USA02A
BHERNC4;UHB01P;BHERNC4_UHB01P
BHERNC4;UAZ02K;BHERNC4_UAZ02K
BHERNC4;UDN01J;BHERNC4_UDN01J
BHERNC4;UDN01K;BHERNC4_UDN01K
BHERNC4;UDN01L;BHERNC4_UDN01L
BHERNC4;UDN01M;BHERNC4_UDN01M
